Parkvej 14 1. tv,9000 Aalborg,1.340.000,06-01-2022,81 ,16.543,1939
Vængevej 6,5771 Stenstrup,750.000,06-01-2022,89 ,8.427,1961
Tinggårdsparken 24,4030 Tune,3.800.000,06-01-2022,140 ,27.143,1982
Bakkedal 21,2980 Kokkedal,1.998.000,06-01-2022,98 ,20.388,1965
Vilstrup Bysving 34A,6100 Haderslev,547.500,06-01-2022,248 ,2.208,1925
Juelsvej 25,4390 Vipperød,2.395.000,06-01-2022,144 ,16.632,1974
Dommervænget 12C st. th,4000 Roskilde,2.515.000,06-01-2022,87 ,28.908,1968
Lourupvej 24,6690 Gørding,150.000,06-01-2022,152 ,987,1914
Abkærvej 6,6500 Vojens,350.000,06-01-2022,95 ,3.684,1936
Sofievej 32F 3,9000 Aalborg,860.000,06-01-2022,56 ,15.357,1969
Baune-Mosen 6,3210 Vejby,1.400.000,06-01-2022,65 ,21.538,1976
Roskildevej 112,4100 Ringsted,1.540.000,06-01-2022,129 ,11.938,1912
Tvedens Alle 39,9381 Sulsted,600.000,06-01-2022,142 ,4.225,1973
Damsholtevej 2,2970 Hørsholm,4.995.000,06-01-2022,217 ,23.018,1877
Strandvejen 132,3070 Snekkersten,11.995.000,06-01-2022,233 ,51.481,1904
Herlev Hovedgade 100 1,2730 Herlev,6.250.000,06-01-2022,104 ,60.096,1928
Porsevænget 49,2800 Kongens Lyngby,5.510.000,06-01-2022,73 ,75.479,1946
Frederiksgade 1,4800 Nykøbing F,259.389,06-01-2022,68 ,3.815,1885
Hou Vest 57,9370 Hals,260.000,06-01-2022,65 ,4.000,1970
Fagerstedvej 12,2650 Hvidovre,3.970.000,06-01-2022,91 ,43.626,1960
Hove Bygade 15,2765 Smørum,2.400.000,06-01-2022,95 ,25.263,1962
Bytoftevej 13,4640 Faxe,800.000,06-01-2022,137 ,5.839,1920
Dalsøvej 79,7200 Grindsted,1.450.000,06-01-2022,139 ,10.432,1977
Glentevej 4,4450 Jyderup,1.790.000,06-01-2022,146 ,12.260,1969
Eskildstrupvej 7,2700 Brønshøj,562.939,06-01-2022,150 ,3.127,1934
Mågevej 32,2970 Hørsholm,5.995.000,06-01-2022,122 ,49.139,1966
Poulsvej 16,9330 Dronninglund,75.000,06-01-2022,124 ,605,1950
Toppehøjs-Ager 6,3250 Gilleleje,274.000,06-01-2022,68 ,4.029,1970
Toppehøjs-Ager 6,3250 Gilleleje,274.000,06-01-2022,15 ,18.267,2017
Fredericiagade 48 2,1310 København K,3.950.000,06-01-2022,126 ,31.349,1750
Vestre Landevej 123,4951 Nørreballe,350.000,05-01-2022,186 ,1.882,1910
Stationsvej 4 st,5560 Aarup,2.065.000,05-01-2022,107 ,19.299,1911
Volkmøllevej 26,8960 Randers SØ,1.001.250,05-01-2022,166 ,6.032,1890
Volkmøllevej 26,8960 Randers SØ,1.001.250,05-01-2022,50 ,20.025,1979
Rørholmsgade 9B st,1352 København K,4.250.000,05-01-2022,72 ,59.028,2004
Solmarken 1,9493 Saltum,675.000,05-01-2022,40 ,16.875,1967
Måstrupvej 250,9870 Sindal,1.100.000,05-01-2022,268 ,4.104,2009
Måstrupvej 272,9870 Sindal,900.000,05-01-2022,224 ,4.018,1910
Nørreskovvej 21,4100 Ringsted,2.795.000,05-01-2022,116 ,24.095,2005
Abildgaardsvej 15,3000 Helsingør,3.950.000,05-01-2022,110 ,35.909,1966
Kærgade 172,8940 Randers SV,765.000,05-01-2022,102 ,7.500,1955
Sneppevej 7,4400 Kalundborg,995.000,05-01-2022,31 ,32.097,1964
Parcelvej 1,4520 Svinninge,750.000,05-01-2022,86 ,8.721,1957
Gl Kirkevej 3 2,4300 Holbæk,950.000,05-01-2022,50 ,19.000,1924
Tårnborgvej 152,4220 Korsør,500.000,05-01-2022,833 ,600,1800
Præstebrovej 46,2860 Søborg,1.497.500,05-01-2022,109 ,13.739,1950
Hasselvænget 6,4130 Viby Sjælland,3.475.000,05-01-2022,209 ,16.627,1966
Hellumvej 77,9320 Hjallerup,5.128.098,05-01-2022,0 ,284.894,2018
Hellumvej 77,9320 Hjallerup,5.128.098,05-01-2022,0 ,5.128.098,2018
Hellumvej 77,9320 Hjallerup,5.128.098,05-01-2022,210 ,24.420,1848
Blommehaven 4,4390 Vipperød,2.995.000,05-01-2022,138 ,21.703,1981
